Title,Short Description,Salary,Location,Company
"CO-OP, DATA SCIENCE","Leveraging internal and external data to identify signal and generate recommendations.Using data analysis to solve problems, identify trends, and predict…",Internship,"Boston, MA 02210 (South Boston area)",PUMA
newData Scientist_NLP,"Skills: Data Modeling,NLP,Engineering,Python.Position is work from home.Once Covid restrictions lift, the person can work out of any of the following…",$60 - $70 an hourPart-time +18 hour shift,"Norfolk, VA",CCIT INC
newJunior Data Scientist Apprentice,"Ability to work independently and take initiative, as well as work collaboratively and contribute in a team environment as data science is a team sport.",Full-time,"New York, NY 10001 (Chelsea area)+41 locations",IBM
JR Business Process Analyst,"Keen attention to detail, and comfort with data and numbers.Perform additional duties as assigned including, but not limited to, customer service support, data…","$89,648 - $149,698 a year",Remote,General Dynamics Information Technology
University Grad Data Scientist,Work with product managers and engineers to design data products and debug A/B experiments.Experience applying scientific methods to solve-real-world problems…,Internship,United States+18 locations,Pinterest
Data Scientist I,"Prior experience with data pipelines, data tools, and data organization for analytics.Mines and analyzes complex and unstructured data sets using advanced…",$45 - $50 an hourFull-time +18 hour shift,+3 locationsRemote,Wellstone Technologies
Data Scientist,The hired individual will be part of the firm’s data science team building and implementing Aignyte and supporting the servicing of clients.,"$70,000 - $90,000 a yearFull-time +1",+1 locationRemote,Aignyte
newAssociate Data Scientist,Familiar with Python and commonly used data science packages.How you think data science can support game development and business.,Estimated $46.9K – $59.3K a yearFull-time,"Irvine, CA 92618+3 locations",Blizzard Entertainment
Jr. Data Analyst,"Update data sets and models frequently.Identify fraudulent email, sensitive data and new attack strategies.Tens of thousands of organizations use Armorblox to…",Full-time,+1 locationRemote,Armorblox
Data Science Apprenticeship,Calling all data lovers in Northwest Arkansas.Translate business problems to data related or mathematical solutions.What's a successful candidate look like?,"$35,000 - $125,000 a yearFull-time","Rogers, AR",Arkansas Center for Data Sciences
newClinical Data Scientist,"Data mining of genomics data and clinical record.Prior experience in conducting academic or industry research on data mining, especially on.",Full-time,Remote,Baylor Genetics
Data Science Associate (Remote),"Bachelor/Master Degree students pursuing degrees in data science, statistics, applied math, computer science, engineering or other quantitative fields providing…",Full-time +1,"Remote in New York, NY+1 location",pulseData
Data Science Trainee,Integrate internal data with external data sources and APIs to discover and implement actionable insights.Strong data cleaning and preparation skills.,"$95,500 - $190,900 a yearFull-time","Rockville, MD 20852+2 locations",Axle Informatics
newProfessional Advanced Analytics,"This position analyzes data from multiple sources including datalakes, internal/external data, data warehouses, etc.",Full-time,"Remote in Atlanta, GA+4 locations",AT&T
Data Science Fellow,"Øptimus Analytics, a data science and software company, is seeking a data science fellow in the Washington, DC area or remotely.",,"Remote in Alexandria, VA",Øptimus Consulting
